origin,destination,year,inflows
Belgium,Slovak Republic,2013,41
Belgium,Slovak Republic,2014,21
Belgium,Slovak Republic,2015,26
Belgium,Slovak Republic,2016,21
Belgium,Spain,2000,2175
Belgium,Spain,2001,2244
Belgium,Spain,2002,2261
Belgium,Spain,2003,2096
Belgium,Spain,2004,2583
Belgium,Spain,2005,2728
Belgium,Spain,2006,2677
Belgium,Spain,2007,2743
Belgium,Spain,2008,1914
Belgium,Spain,2009,1726
Belgium,Spain,2010,1844
Belgium,Spain,2011,1975
Belgium,Spain,2012,2198
Belgium,Spain,2013,2319
Belgium,Spain,2014,2266
Belgium,Spain,2015,2705
Belgium,Spain,2016,2967
Belgium,Sweden,2000,90
Belgium,Sweden,2001,144
Belgium,Sweden,2002,97
Belgium,Sweden,2003,63
Belgium,Sweden,2004,89
Belgium,Sweden,2005,100
Belgium,Sweden,2006,148
Belgium,Sweden,2007,162
Belgium,Sweden,2008,170
Belgium,Sweden,2009,163
Belgium,Sweden,2010,145
Belgium,Sweden,2011,176
Belgium,Sweden,2012,187
Belgium,Sweden,2013,198
Belgium,Sweden,2014,204
Belgium,Sweden,2015,203
Belgium,Sweden,2016,248
Belgium,Switzerland,2000,907
Belgium,Switzerland,2001,943
Belgium,Switzerland,2002,794
Belgium,Switzerland,2003,728
Belgium,Switzerland,2004,803
Belgium,Switzerland,2005,804
Belgium,Switzerland,2006,805
Belgium,Switzerland,2007,1102
Belgium,Switzerland,2008,1228
Belgium,Switzerland,2009,1033
Belgium,Switzerland,2010,1076
Belgium,Switzerland,2011,1170
Belgium,Switzerland,2012,1163
Belgium,Switzerland,2013,1277
Belgium,Switzerland,2014,1250
Belgium,Switzerland,2015,1288
Belgium,Switzerland,2016,1217
Belgium,United Kingdom,2000,1931
Belgium,United Kingdom,2001,429
Belgium,United Kingdom,2011,1000
Belgium,United Kingdom,2012,3000
Belgium,United Kingdom,2013,1000
Belgium,United Kingdom,2014,3000
Belgium,United Kingdom,2015,2000
Belgium,Estonia,2004,0
Belgium,Estonia,2005,5
Belgium,Estonia,2006,11
Belgium,Estonia,2007,19
Belgium,Estonia,2008,11
Belgium,Estonia,2009,9
